Product_ID,Product_Name,Brand,Unit_Size,Category,Sub_Category,MRP_Rs,Wholesale_Rs,Vendor_Name,Contact_Person,Phone,Email,Address_Biratnagar,MOQ,Stock_Status
SN001,Glucose Biscuits,Golden Bake,200g,Snacks,Biscuits,25,21,Biratnagar Biscuit Factory,Ramesh Gupta,+977-9801234562,biratbiscuit@gmail.com,Factory Road-5,100 packs,In Stock
SN002,Cream Biscuits,Creamy Delight,150g,Snacks,Biscuits,35,30,Sweet Snacks Pvt Ltd,Anjali Rai,+977-9812345672,sweetsnacks@email.com,Snack Zone,80 packs,In Stock
SN003,Butter Cookies,Premium,100g,Snacks,Biscuits,45,38,Cookie House,Sunil Shrestha,+977-9823456783,cookie@gmail.com,Baker Street,60 packs,In Stock
SN004,Marie Biscuits,Classic,200g,Snacks,Biscuits,22,18,Classic Bakers,Binod Jha,+977-9834567894,classic@email.com,Old Bazaar,100 packs,In Stock
SN005,Digestive Biscuits,Healthy,250g,Snacks,Biscuits,40,34,Health Bakes,Maya Sharma,+977-9845678911,health@gmail.com,Health Market,70 packs,In Stock
SN006,Chocolate Cream Biscuits,Choco,150g,Snacks,Biscuits,45,38,Sweet Snacks Pvt Ltd,Anjali Rai,+977-9812345672,sweetsnacks@email.com,Snack Zone,75 packs,In Stock
SN007,Oat Cookies,Crunchy,100g,Snacks,Biscuits,50,43,Cookie House,Sunil Shrestha,+977-9823456783,cookie@gmail.com,Baker Street,55 packs,In Stock
SN008,Coconut Cookies,Tropical,120g,Snacks,Biscuits,40,34,Cookie House,Sunil Shrestha,+977-9823456783,cookie@gmail.com,Baker Street,60 packs,In Stock
SN009,Potato Chips Salted,Crispy Munch,50g,Snacks,Chips & Namkeen,20,16,Crisp Foods Nepal,Dinesh Karki,+977-9845678904,crisp@gmail.com,Industrial Area-4,200 packs,In Stock
SN010,Potato Chips Tomato,Crispy Munch,50g,Snacks,Chips & Namkeen,20,16,Crisp Foods Nepal,Dinesh Karki,+977-9845678904,crisp@gmail.com,Industrial Area-4,200 packs,In Stock
SN011,Potato Chips Masala,Crispy Munch,50g,Snacks,Chips & Namkeen,20,16,Crisp Foods Nepal,Dinesh Karki,+977-9845678904,crisp@gmail.com,Industrial Area-4,200 packs,In Stock
SN012,Aloo Bhujia,Spicy,200g,Snacks,Chips & Namkeen,40,34,Namkeen House,Laxman Thapa,+977-9856789015,namkeen@email.com,Namkeen Lane,50 packs,In Stock
SN013,Sev Traditional,Crispy,150g,Snacks,Chips & Namkeen,35,29,Traditional Snacks,Geeta Pandey,+977-9867890126,traditional@gmail.com,Market Road,60 packs,In Stock
SN014,Mix Namkeen,Party Mix,200g,Snacks,Chips & Namkeen,45,38,Party Snacks Co,Rajesh Yadav,+977-9878901237,party@email.com,Party Lane,50 packs,In Stock
SN015,Corn Flakes Crunchy,Crispy,100g,Snacks,Chips & Namkeen,25,21,Corn Products,Meena Devi,+977-9889012348,corn@gmail.com,Corn Street,100 packs,In Stock
SN016,Banana Chips,Crispy,100g,Snacks,Chips & Namkeen,35,29,Crisp Foods Nepal,Dinesh Karki,+977-9845678904,crisp@gmail.com,Industrial Area-4,80 packs,In Stock
SN017,Cheese Balls,Cheesy,75g,Snacks,Chips & Namkeen,30,25,Snack Factory,Prakash Rai,+977-9890123462,snack@email.com,Snack Zone,90 packs,In Stock
