Product_ID,Product_Name,Brand,Unit_Size,Category,Sub_Category,MRP_Rs,Wholesale_Rs,Vendor_Name,Contact_Person,Phone,Email,Address_Biratnagar,MOQ,Stock_Status
AG001,Vegetable Seeds Tomato,Hybrid,50g,Agricultural,Seeds,280,250,Koshi Agro Products,Santosh Karki,+977-9812345680,agro@gmail.com,Agricultural Zone,10 packs,In Stock
AG002,Vegetable Seeds Cabbage,Quality,25g,Agricultural,Seeds,220,195,Seed Company Nepal,Laxman Yadav,+977-9823456791,seed@email.com,Seed Market,12 packs,In Stock
AG003,Vegetable Seeds Cauliflower,Hybrid,25g,Agricultural,Seeds,250,225,Seed Company Nepal,Laxman Yadav,+977-9823456791,seed@email.com,Seed Market,12 packs,In Stock
AG004,Vegetable Seeds Carrot,Premium,50g,Agricultural,Seeds,180,155,Seed Company Nepal,Laxman Yadav,+977-9823456791,seed@email.com,Seed Market,15 packs,In Stock
AG005,Vegetable Seeds Radish,Fast Growing,100g,Agricultural,Seeds,120,105,Koshi Agro Products,Santosh Karki,+977-9812345680,agro@gmail.com,Agricultural Zone,18 packs,In Stock
AG006,Leafy Seeds Spinach,Green,50g,Agricultural,Seeds,95,82,Seed Company Nepal,Laxman Yadav,+977-9823456791,seed@email.com,Seed Market,20 packs,In Stock
AG007,Leafy Seeds Mustard,Traditional,100g,Agricultural,Seeds,65,56,Seed Company Nepal,Laxman Yadav,+977-9823456791,seed@email.com,Seed Market,25 packs,In Stock
AG008,Leafy Seeds Fenugreek,Methi,100g,Agricultural,Seeds,75,65,Koshi Agro Products,Santosh Karki,+977-9812345680,agro@gmail.com,Agricultural Zone,22 packs,In Stock
AG009,Flower Seeds Marigold,Orange,10g,Agricultural,Seeds,45,38,Seed Company Nepal,Laxman Yadav,+977-9823456791,seed@email.com,Seed Market,30 packs,In Stock
AG010,Flower Seeds Sunflower,Giant,20g,Agricultural,Seeds,85,74,Seed Company Nepal,Laxman Yadav,+977-9823456791,seed@email.com,Seed Market,25 packs,In Stock
AG011,Rice Seeds,Hybrid,1kg,Agricultural,Seeds,150,130,Koshi Agro Products,Santosh Karki,+977-9812345680,agro@gmail.com,Agricultural Zone,50 kg,In Stock
AG012,Wheat Seeds,Premium,1kg,Agricultural,Seeds,120,105,Seed Company Nepal,Laxman Yadav,+977-9823456791,seed@email.com,Seed Market,50 kg,In Stock
AG013,NPK Fertilizer,Balanced 19-19-19,1kg,Agricultural,Fertilizers,350,315,Fertilizer Center,Binod Mandal,+977-9834567802,fertilizer@gmail.com,Fertilizer Zone,25 kg,In Stock
AG014,Urea Fertilizer,Nitrogen,1kg,Agricultural,Fertilizers,280,250,Fertilizer Center,Binod Mandal,+977-9834567802,fertilizer@gmail.com,Fertilizer Zone,50 kg,In Stock
AG015,DAP Fertilizer,Phosphorus,1kg,Agricultural,Fertilizers,420,380,Fertilizer Center,Binod Mandal,+977-9834567802,fertilizer@gmail.com,Fertilizer Zone,50 kg,In Stock
AG016,Potash Fertilizer,Potassium,1kg,Agricultural,Fertilizers,380,340,Fertilizer Center,Binod Mandal,+977-9834567802,fertilizer@gmail.com,Fertilizer Zone,40 kg,In Stock
AG017,Organic Manure,Cow Dung,5kg,Agricultural,Fertilizers,180,155,Koshi Agro Products,Santosh Karki,+977-9812345680,agro@gmail.com,Agricultural Zone,100 kg,In Stock
AG018,Vermicompost,Organic,5kg,Agricultural,Fertilizers,220,195,Koshi Agro Products,Santosh Karki,+977-9812345680,agro@gmail.com,Agricultural Zone,80 kg,In Stock
AG019,Bone Meal,Organic,1kg,Agricultural,Fertilizers,280,250,Fertilizer Center,Binod Mandal,+977-9834567802,fertilizer@gmail.com,Fertilizer Zone,30 kg,In Stock
AG020,Neem Cake,Organic,1kg,Agricultural,Fertilizers,180,155,Koshi Agro Products,Santosh Karki,+977-9812345680,agro@gmail.com,Agricultural Zone,50 kg,In Stock
AG021,Micronutrient Mix,Complete,500g,Agricultural,Fertilizers,450,405,Fertilizer Center,Binod Mandal,+977-9834567802,fertilizer@gmail.com,Fertilizer Zone,20 kg,In Stock
AG022,Pesticide,Insect Control,500ml,Agricultural,Pesticides,650,585,Fertilizer Center,Binod Mandal,+977-9834567802,fertilizer@gmail.com,Fertilizer Zone,20 bottles,In Stock
AG023,Fungicide,Disease Control,250ml,Agricultural,Pesticides,550,495,Fertilizer Center,Binod Mandal,+977-9834567802,fertilizer@gmail.com,Fertilizer Zone,25 bottles,In Stock
AG024,Herbicide,Weed Control,500ml,Agricultural,Pesticides,480,432,Fertilizer Center,Binod Mandal,+977-9834567802,fertilizer@gmail.com,Fertilizer Zone,22 bottles,In Stock
AG025,Neem Oil,Organic Pesticide,250ml,Agricultural,Pesticides,380,340,Koshi Agro Products,Santosh Karki,+977-9812345680,agro@gmail.com,Agricultural Zone,28 bottles,In Stock
AG026,Garden Spade,Steel,1pc,Agricultural,Tools,450,405,Farm Tools,Ramesh Yadav,+977-9845678914,tools@gmail.com,Tool Market,35 pcs,In Stock
AG027,Garden Fork,4 Prong,1pc,Agricultural,Tools,380,340,Farm Tools,Ramesh Yadav,+977-9845678914,tools@gmail.com,Tool Market,38 pcs,In Stock
AG028,Garden Hoe,Traditional,1pc,Agricultural,Tools,320,285,Farm Tools,Ramesh Yadav,+977-9845678914,tools@gmail.com,Tool Market,40 pcs,In Stock
AG029,Garden Rake,Metal,1pc,Agricultural,Tools,350,315,Farm Tools,Ramesh Yadav,+977-9845678914,tools@gmail.com,Tool Market,36 pcs,In Stock
AG030,Pruning Shears,Sharp,1pc,Agricultural,Tools,550,495,Farm Tools,Ramesh Yadav,+977-9845678914,tools@gmail.com,Tool Market,30 pcs,In Stock
AG031,Garden Gloves,Cotton,1 pair,Agricultural,Tools,120,105,Farm Tools,Ramesh Yadav,+977-9845678914,tools@gmail.com,Tool Market,55 pairs,In Stock
AG032,Watering Can,10L,1pc,Agricultural,Irrigation,480,432,Koshi Agro Products,Santosh Karki,+977-9812345680,agro@gmail.com,Agricultural Zone,25 pcs,In Stock
