Product_ID,Product_Name,Brand,Unit_Size,Category,Sub_Category,MRP_Rs,Wholesale_Rs,Vendor_Name,Contact_Person,Phone,Email,Address_Biratnagar,MOQ,Stock_Status
HC001,Dhaka Wallet,Handmade,1pc,Handicrafts,Dhaka Products,480,432,Nepali Crafts House,Binod Rai,+977-9889012346,crafts@gmail.com,Craft Market,30 pcs,In Stock
HC002,Dhaka Purse,Traditional,1pc,Handicrafts,Dhaka Products,350,315,Nepali Crafts House,Binod Rai,+977-9889012346,crafts@gmail.com,Craft Market,35 pcs,In Stock
HC003,Dhaka Bag,Medium,1pc,Handicrafts,Dhaka Products,950,855,Nepali Crafts House,Binod Rai,+977-9889012346,crafts@gmail.com,Craft Market,20 pcs,In Stock
HC004,Dhaka Laptop Bag,Premium,1pc,Handicrafts,Dhaka Products,1850,1665,Nepali Crafts House,Binod Rai,+977-9889012346,crafts@gmail.com,Craft Market,12 pcs,In Stock
HC005,Wooden Bowl,Handicraft,1pc,Handicrafts,Wood Crafts,680,612,Wood Works Nepal,Ramesh Gurung,+977-9890123457,wood@email.com,Wood Zone,25 pcs,In Stock
HC006,Wooden Spoon Set,3 pcs,1 set,Handicrafts,Wood Crafts,450,405,Wood Works Nepal,Ramesh Gurung,+977-9890123457,wood@email.com,Wood Zone,30 sets,In Stock
HC007,Wooden Decorative Plate,Wall Hanging,1pc,Handicrafts,Wood Crafts,1280,1152,Wood Works Nepal,Ramesh Gurung,+977-9890123457,wood@email.com,Wood Zone,15 pcs,In Stock
HC008,Wooden Photo Frame,Medium,1pc,Handicrafts,Wood Crafts,580,522,Wood Works Nepal,Ramesh Gurung,+977-9890123457,wood@email.com,Wood Zone,28 pcs,In Stock
HC009,Wooden Jewelry Box,Carved,1pc,Handicrafts,Wood Crafts,850,765,Wood Works Nepal,Ramesh Gurung,+977-9890123457,wood@email.com,Wood Zone,20 pcs,In Stock
HC010,Wooden Pen Stand,Desk,1pc,Handicrafts,Wood Crafts,320,285,Wood Works Nepal,Ramesh Gurung,+977-9890123457,wood@email.com,Wood Zone,35 pcs,In Stock
HC011,Metal Statue,Buddha,Small,Handicrafts,Metal Crafts,1450,1305,Metal Craft,Prakash Thapa,+977-9801234569,metal@gmail.com,Metal Market,12 pcs,In Stock
HC012,Metal Singing Bowl,Traditional,1pc,Handicrafts,Metal Crafts,2800,2520,Metal Craft,Prakash Thapa,+977-9801234569,metal@gmail.com,Metal Market,8 pcs,In Stock
HC013,Brass Diya,Oil Lamp,1pc,Handicrafts,Metal Crafts,280,250,Metal Craft,Prakash Thapa,+977-9801234569,metal@gmail.com,Metal Market,40 pcs,In Stock
HC014,Metal Wind Chime,Decorative,1pc,Handicrafts,Metal Crafts,650,585,Metal Craft,Prakash Thapa,+977-9801234569,metal@gmail.com,Metal Market,25 pcs,In Stock
HC015,Brass Utensils,Traditional,1pc,Handicrafts,Metal Crafts,980,882,Metal Craft,Prakash Thapa,+977-9801234569,metal@gmail.com,Metal Market,18 pcs,In Stock
HC016,Khukuri,Decorative,Medium,Handicrafts,Metal Crafts,3500,3150,Nepali Crafts House,Binod Rai,+977-9889012346,crafts@gmail.com,Craft Market,10 pcs,In Stock
HC017,Clay Pot,Traditional,Large,Handicrafts,Pottery,450,405,Pottery House,Santosh Karki,+977-9812345681,pottery@email.com,Pottery Zone,30 pcs,In Stock
HC018,Clay Diya,Set of 10,1 pack,Handicrafts,Pottery,180,155,Pottery House,Santosh Karki,+977-9812345681,pottery@email.com,Pottery Zone,45 packs,In Stock
HC019,Terracotta Vase,Decorative,1pc,Handicrafts,Pottery,780,702,Pottery House,Santosh Karki,+977-9812345681,pottery@email.com,Pottery Zone,22 pcs,In Stock
