Product_ID,Product_Name,Brand,Unit_Size,Category,Sub_Category,MRP_Rs,Wholesale_Rs,Vendor_Name,Contact_Person,Phone,Email,Address_Biratnagar,MOQ,Stock_Status
GR001,Basmati Rice Premium,Biratnagar Grains,1kg,Groceries,Rice & Grains,120,95,Biratnagar Rice Mills,Ram Prasad Sharma,+977-9841234567,ramsharm@gmail.com,Main Road-4,50kg,In Stock
GR002,Basmati Rice Regular,B

irat Grains,1kg,Groceries,Rice & Grains,100,82,Biratnagar Rice Mills,Ram Prasad Sharma,+977-9841234567,ramsharm@gmail.com,Main Road-4,50kg,In Stock
GR003,Jasmine Rice,Aromatic,1kg,Groceries,Rice & Grains,110,90,Aromatic Rice Mills,Shyam Karki,+977-9851234567,aromatic@gmail.com,Rice Mill Area,40kg,In Stock
GR004,Brown Rice Organic,Health Grain,1kg,Groceries,Rice & Grains,140,115,Organic Foods Nepal,Maya Thapa,+977-9851234568,organic@email.com,Organic Zone,30kg,In Stock
GR005,Parboiled Rice,Golden Rice,1kg,Groceries,Rice & Grains,85,70,Golden Rice Factory,Hari Bahadur,+977-9851234569,golden@gmail.com,Factory Road,60kg,In Stock
GR006,Sona Masoori,South Indian,1kg,Groceries,Rice & Grains,95,78,South Foods,Anil Kumar,+977-9851234570,south@email.com,Trading Area,45kg,In Stock
GR007,Kolam Rice,Daily Rice,1kg,Groceries,Rice & Grains,88,72,Daily Grains,Sunita Rai,+977-9851234571,daily@gmail.com,Grain Market,50kg,In Stock
GR008,Beaten Rice Chiura,Traditional,500g,Groceries,Rice & Grains,35,28,Village Products,Ganesh Tharu,+977-9851234572,village@gmail.com,Rural Market,25kg,In Stock
GR009,Puffed Rice,Crispy,200g,Groceries,Rice & Grains,25,20,Crispy Foods,Ramesh Jha,+977-9851234573,crispy@email.com,Snack Zone,30kg,In Stock
GR010,Rice Flour,Pure Flour,1kg,Groceries,Flour,55,45,Flour Mills Nepal,Prakash Limbu,+977-9851234574,flour@gmail.com,Mill Area,40kg,In Stock
GR011,Moong Dal Whole,Fresh Dal,1kg,Groceries,Pulses,160,135,Koshi Dal Industries,Sita Devi,+977-9852345678,koshidal@email.com,Industrial Area,25kg,In Stock
GR012,Moong Dal Split,Fresh Dal,500g,Groceries,Pulses,85,70,Koshi Dal Industries,Sita Devi,+977-9852345678,koshidal@email.com,Industrial Area,25kg,In Stock
GR013,Masoor Dal Whole,Premium,1kg,Groceries,Pulses,140,115,Sharma Trading,Gopal Sharma,+977-9863456789,sharma@gmail.com,Bhanu Chowk,30kg,In Stock
GR014,Masoor Dal Split,Premium,500g,Groceries,Pulses,75,62,Sharma Trading,Gopal Sharma,+977-9863456789,sharma@gmail.com,Bhanu Chowk,30kg,In Stock
GR015,Chana Dal,Best Quality,1kg,Groceries,Pulses,120,98,Subedi Wholesalers,Krishna Subedi,+977-9874567890,subedi@email.com,Traffic Chowk,20kg,In Stock
GR016,Chana Dal,Best Quality,500g,Groceries,Pulses,65,52,Subedi Wholesalers,Krishna Subedi,+977-9874567890,subedi@email.com,Traffic Chowk,20kg,In Stock
GR017,Toor Dal,Arhar Dal,1kg,Groceries,Pulses,130,105,Yadav Dal Mill,Rajesh Yadav,+977-9885678901,yadav@gmail.com,Road No. 5,40kg,In Stock
GR018,Urad Dal Whole,Black Gram,1kg,Groceries,Pulses,150,125,Black Gram Industries,Binod Mandal,+977-9885678902,blackgram@email.com,Dal Market,35kg,In Stock
GR019,Urad Dal Split,Black Gram,500g,Groceries,Pulses,80,66,Black Gram Industries,Binod Mandal,+977-9885678902,blackgram@email.com,Dal Market,35kg,In Stock
GR020,Rajma Red Beans,Himalayan,500g,Groceries,Pulses,95,78,Mountain Foods,Santosh Gurung,+977-9885678903,mountain@gmail.com,Hill Area,20kg,In Stock
GR021,Chickpeas Kabuli,Premium,1kg,Groceries,Pulses,110,90,Chana Traders,Laxman Yadav,+977-9885678904,chana@email.com,Chana Bazaar,30kg,In Stock
GR022,Black Chickpeas,Desi Chana,500g,Groceries,Pulses,60,48,Desi Foods,Kamala Devi,+977-9885678905,desi@gmail.com,Market Road,25kg,In Stock
GR023,Green Peas Dried,Green,500g,Groceries,Pulses,70,58,Green Valley,Dinesh Pandey,+977-9885678906,green@email.com,Green Market,20kg,In Stock
GR024,Soybean,Protein Rich,1kg,Groceries,Pulses,85,70,Soya Products,Ravi Mishra,+977-9885678907,soya@gmail.com,Protein Zone,40kg,In Stock
GR025,Mixed Dal,Rainbow,500g,Groceries,Pulses,75,62,Mixed Foods,Anita Rai,+977-9885678908,mixed@email.com,Trading Center,25kg,In Stock
GR026,Whole Wheat Atta,Biratnagar Mills,5kg,Groceries,Flour,250,210,Biratnagar Flour Mills,Hari Prasad,+977-9896789012,biratmill@email.com,Mill Area-7,100kg,In Stock
GR027,Whole Wheat Atta,Biratnagar Mills,10kg,Groceries,Flour,480,420,Biratnagar Flour Mills,Hari Prasad,+977-9896789012,biratmill@email.com,Mill Area-7,200kg,In Stock
GR028,Multi Grain Atta,Health Flour,5kg,Groceries,Flour,300,255,Health Mills,Puja Sharma,+977-9896789013,health@gmail.com,Health Zone,80kg,In Stock
GR029,Maida All Purpose,Pure White,1kg,Groceries,Flour,45,38,Koshi Flour Industries,Laxmi Khatri,+977-9801234567,koshiflour@gmail.com,Industrial Road,50kg,In Stock
GR030,Maida All Purpose,Pure White,5kg,Groceries,Flour,210,185,Koshi Flour Industries,Laxmi Khatri,+977-9801234567,koshiflour@gmail.com,Industrial Road,100kg,In Stock
GR031,Suji Rava Fine,Golden Grains,500g,Groceries,Flour,35,28,Golden Grain Traders,Mohan Thapa,+977-9812345678,golden@email.com,Bhanu Path,30kg,In Stock
GR032,Suji Rava Coarse,Golden Grains,1kg,Groceries,Flour,65,54,Golden Grain Traders,Mohan Thapa,+977-9812345678,golden@email.com,Bhanu Path,40kg,In Stock
GR033,Besan Gram Flour,Fresh Gram,500g,Groceries,Flour,55,45,Fresh Foods Pvt Ltd,Binod Kumar,+977-9823456789,fresh@email.com,Main Market,25kg,In Stock
GR034,Besan Gram Flour,Fresh Gram,1kg,Groceries,Flour,105,88,Fresh Foods Pvt Ltd,Binod Kumar,+977-9823456789,fresh@email.com,Main Market,40kg,In Stock
GR035,Corn Flour,Corn King,500g,Groceries,Flour,50,42,Corn Products,Meena Devi,+977-9823456790,corn@gmail.com,Corn Street,30kg,In Stock
GR036,Rice Flour,White,1kg,Groceries,Flour,55,45,Flour Mills Nepal,Prakash Limbu,+977-9823456791,flour@gmail.com,Mill Area,40kg,In Stock
