Vendor_ID,Vendor_Name,Contact_Person,Phone,Email,Address_Biratnagar,Category,Products_Count,Payment_Terms,Delivery_Area,Rating
V001,Biratnagar Rice Mills,Ram Prasad Sharma,+977-9841234567,ramsharm@gmail.com,Main Road-4,Groceries,8,15-30 days credit,Biratnagar + nearby,4.5/5
V002,Koshi Dal Industries,Sita Devi,+977-9852345678,koshidal@email.com,Industrial Area,Groceries,6,15-30 days credit,Biratnagar,4.7/5
V003,Biratnagar Flour Mills,Hari Prasad,+977-9896789012,biratmill@email.com,Mill Area-7,Groceries,10,30 days credit,Regional,4.8/5
V004,Koshi Oil Mills,Ramesh Rai,+977-9834567890,koshioil@gmail.com,Oil Mill Road,Groceries,5,15 days credit,Biratnagar,4.6/5
V005,Spice Valley Traders,Rita Chaudhary,+977-9889012345,valley@gmail.com,Spice Market,Groceries,12,Cash/7 days,Biratnagar,4.4/5
V006,Biratnagar Sugar Mills,Ravi Mishra,+977-9823456780,sugar@gmail.com,Sugar Mill Area,Groceries,3,30 days credit,Regional,4.7/5
V007,Koshi Tea Estates,Pradip Gurung,+977-9856789013,koshitea@gmail.com,Tea Garden Road,Groceries,4,15-30 days,Regional,4.9/5
V008,Coffee House Biratnagar,Mukesh Sah,+977-9878901235,coffee@gmail.com,Coffee Lane,Groceries,2,15 days credit,Biratnagar,4.3/5
V009,Dry Fruit House,Ramesh Gupta,+977-9823456794,dryfruits@gmail.com,Dry Fruit Market,Groceries,9,15-30 days,Regional,4.6/5
V010,Sauce Factory,Dinesh Karki,+977-9845678906,sauce@gmail.com,Sauce Lane,Groceries,3,Cash/15 days,Biratnagar,4.2/5
V011,Pickle House,Geeta Jha,+977-9856789019,pickle@email.com,Pickle Market,Groceries,4,15 days,Biratnagar,4.5/5
V012,Koshi Dairy Farm,Ram Bahadur Rai,+977-9801234560,koshidairy@gmail.com,Dairy Road-6,Dairy,8,Daily/Weekly,Biratnagar,4.8/5
