Product_ID,Product_Name,Brand,Unit_Size,Category,Sub_Category,MRP_Rs,Wholesale_Rs,Vendor_Name,Contact_Person,Phone,Email,Address_Biratnagar,MOQ,Stock_Status
EL001,Mobile Charger,Fast Charge,1pc,Electronics,Mobile Accessories,350,315,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,40 pcs,In Stock
EL002,USB Cable,Type-C,1m,Electronics,Mobile Accessories,180,155,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,60 pcs,In Stock
EL003,Power Bank,10000mAh,1pc,Electronics,Mobile Accessories,1850,1665,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,20 pcs,In Stock
EL004,Mobile Back Cover,Premium,1pc,Electronics,Mobile Accessories,280,250,Mobile Accessories,Binod Karki,+977-9823456780,mobile@email.com,Mobile Zone,50 pcs,In Stock
EL005,Tempered Glass,Screen,1pc,Electronics,Mobile Accessories,220,195,Mobile Accessories,Binod Karki,+977-9823456780,mobile@email.com,Mobile Zone,70 pcs,In Stock
EL006,Earphones Wired,Bass Boost,1pc,Electronics,Mobile Accessories,380,340,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,45 pcs,In Stock
EL007,Bluetooth Earbuds,True Wireless,1pc,Electronics,Mobile Accessories,2800,2520,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,15 pcs,In Stock
EL008,Headphones,Over Ear,1pc,Electronics,Mobile Accessories,1450,1305,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,18 pcs,In Stock
EL009,Bluetooth Speaker,Portable,1pc,Electronics,Audio,2200,1980,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,12 pcs,In Stock
EL010,Memory Card,64GB,1pc,Electronics,Storage,850,765,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,30 pcs,In Stock
EL011,Memory Card,128GB,1pc,Electronics,Storage,1550,1395,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,25 pcs,In Stock
EL012,Pen Drive,32GB,1pc,Electronics,Storage,450,405,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,40 pcs,In Stock
EL013,Pen Drive,64GB,1pc,Electronics,Storage,780,702,Tech Zone Biratnagar,Prakash Rai,+977-9812345679,tech@gmail.com,Tech Market,35 pcs,In Stock
EL014,External HDD,1TB,1pc,Electronics,Storage,4500,4050,Computer Parts Nepal,Ramesh Mandal,+977-9834567891,computer@gmail.com,IT Market,8 pcs,In Stock
EL015,Mouse Wireless,Optical,1pc,Electronics,Computer Accessories,450,405,Computer Parts Nepal,Ramesh Mandal,+977-9834567891,computer@gmail.com,IT Market,35 pcs,In Stock
EL016,Mouse Wired,USB,1pc,Electronics,Computer Accessories,220,195,Computer Parts Nepal,Ramesh Mandal,+977-9834567891,computer@gmail.com,IT Market,50 pcs,In Stock
